"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF007","YHR216W;YLR432W;YML056C","ProSitePatterns","PS00487","IMP dehydrogenase / GMP reductase signature.","IMP dehydrogenase / GMP reductase, conserved site",3,6,3,302,0.000314638479971,47.1502226570153,0.020136862718144
"YAF007","YCL011C;YDL213C;YDR381W;YER165W;YHL034C;YNL175C;YOL041C;YPL043W","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",8,31,16,509,8.25700947780816e-05,8.14504567781054,0.0132112151644931
"YAF007","YHR216W;YLR432W;YML056C","SUPERFAMILY","SSF51412","Inosine monophosphate dehydrogenase (IMPDH)","-",3,36,3,522,0.00530178455418613,14.3167495244737,0.153578183658389
"YAF007","YHR216W;YLR432W;YML056C","SUPERFAMILY","SSF54631","CBS-domain pair","-",3,36,4,521,0.00883429341211246,10.7432574687645,0.1839197426001
"YAF007","YHR216W;YLR432W;YML056C","CDD","cd00381","IMPDH","IMP dehydrogenase/GMP reductase",3,28,3,387,0.00623911371112205,13.6065474281234,0.153578183658389
"YAF007","YHR216W;YLR432W;YML056C","CDD","cd04601","CBS_pair_IMPDH","-",3,28,3,387,0.00623911371112205,13.6065474281234,0.153578183658389
"YAF007","YDL213C;YNL175C;YOL041C","PANTHER","PTHR23236","EUKARYOTIC TRANSLATION INITIATION FACTOR 4B/4H","-",3,42,4,590,0.00937144004059057,10.4431616220139,0.1839197426001
"YAF007","YHR216W;YLR432W;YML056C","PANTHER","PTHR11911","INOSINE-5-MONOPHOSPHATE DEHYDROGENASE RELATED","-",3,42,3,591,0.00563213880708906,13.9223288114959,0.153578183658389
"YAF007","YCL011C;YDR381W;YER165W;YHL034C;YNL175C;YOL041C;YPL043W","Pfam","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","RNA recognition motif domain",7,40,13,585,0.000262027420753174,7.82184489295105,0.020136862718144
"YAF007","YHR216W;YLR432W;YML056C","Pfam","PF00478","IMP dehydrogenase / GMP reductase domain","IMP dehydrogenase/GMP reductase",3,44,3,595,0.00622097419897997,13.3861496990119,0.153578183658389
"YAF007","YCL011C;YDL213C;YDR381W;YER165W;YHL034C;YNL175C;YNR051C;YOL041C;YPL043W","ProSiteProfiles","PS50102","Eukaryotic RNA Recognition Motif (RRM) profile.","RNA recognition motif domain",9,18,17,228,0.000246697381690353,6.62514943611195,0.020136862718144
"YAF007","YCL011C;YDR381W;YER165W;YHL034C;YNL175C;YOL041C;YPL043W","SMART","SM00360","rrm1_1","RNA recognition motif domain",7,21,14,251,0.00156881155549514,5.91247621742832,0.0665972004268702
"YAF007","YCL011C;YCL031C;YDL213C;YDR381W;YER165W;YHL034C;YNL175C;YOL041C;YPL043W","Gene3D","G3DSA:3.30.70.330","-","Nucleotide-binding alpha-beta plait domain superfamily",9,28,18,519,1.45376469179635e-05,9.18809463333747,0.00465204701374833
"YAF007","YHR216W;YLR432W;YML056C","TIGRFAM","TIGR01302","IMP_dehydrog: inosine-5'-monophosphate dehydrogenase","Inosine-5'-monophosphate dehydrogenase",3,4,3,160,0.000823950857591258,36.6044328179541,0.0439440457382004
"YAF007","YHR216W;YLR432W;YML056C","PIRSF","PIRSF000130","IMPDH","Inosine-5'-monophosphate dehydrogenase",3,4,3,124,0.00166493001067175,28.3749730558288,0.0665972004268702
