"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF017","YLR432W;YML056C","PIRSF","PIRSF000130","IMPDH","Inosine-5'-monophosphate dehydrogenase",2,3,3,213,0.00400160847932898,43.0983392697187,0.200782374904281
"YAF017","YBR119W;YDL051W;YDL213C;YDR381W;YER165W;YHL034C;YHR086W;YIL061C;YKL214C;YNL004W;YNL175C;YNL197C;YNL251C;YNR051C;YPL043W;YPL190C","ProSiteProfiles","PS50102","Eukaryotic RNA Recognition Motif (RRM) profile.","RNA recognition motif domain",16,25,29,418,3.77054856677023e-08,9.14399923219615,4.48695279445657e-06
"YAF017","YBR119W;YDL051W;YDR381W;YER165W;YHL034C;YHR086W;YIL061C;YKL214C;YNL004W;YNL175C;YNL197C;YNL251C;YPL043W;YPL190C","Pfam","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","RNA recognition motif domain",14,56,25,1006,2.07459891392651e-08,10.0105621668694,3.29169694343006e-06
"YAF017","YER029C;YGR074W;YLR275W","Pfam","PF01423","LSM domain","LSM domain, eukaryotic/archaea-type",3,67,4,1027,0.00716607300060569,11.4311651403052,0.200782374904281
"YAF017","YBR119W;YDL051W;YDL213C;YDR381W;YER165W;YHL034C;YHR086W;YIL061C;YKL214C;YNL004W;YNL175C;YNL197C;YNL251C;YPL043W;YPL190C","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",15,44,29,872,6.6677082816093e-09,10.1929643617672,1.91826027512395e-06
"YAF017","YER029C;YGR074W;YLR275W","SUPERFAMILY","SSF50182","Sm-like ribonucleoproteins","LSM domain superfamily",3,56,4,897,0.00647254325419609,11.932027886686,0.200782374904281
"YAF017","YBR119W;YDL051W;YDL213C;YDR381W;YER165W;YHL034C;YHR086W;YIL061C;YKL214C;YNL004W;YNL175C;YNL197C;YNL251C;YPL043W;YPL190C","Gene3D","G3DSA:3.30.70.330","-","Nucleotide-binding alpha-beta plait domain superfamily",15,44,30,883,8.05991712236953e-09,9.97901140865616,1.91826027512395e-06
"YAF017","YER029C;YGR074W;YLR275W","Gene3D","G3DSA:2.30.30.100","-","-",3,56,4,909,0.00624961417221752,12.0915406653709,0.200782374904281
"YAF017","YBR119W;YDR381W;YER165W;YHL034C;YHR086W;YIL061C;YKL214C;YNL004W;YNL175C;YNL197C;YNL251C;YPL043W;YPL190C","SMART","SM00360","rrm1_1","RNA recognition motif domain",13,30,24,430,1.97519001908004e-06,7.70329096151444,0.00018803808981642
"YAF017","YLR432W;YML056C","ProSitePatterns","PS00487","IMP dehydrogenase / GMP reductase signature.","IMP dehydrogenase / GMP reductase, conserved site",2,13,3,461,0.00868128985534496,23.0115253856192,0.200782374904281
"YAF017","YLR432W;YML056C","TIGRFAM","TIGR01302","IMP_dehydrog: inosine-5'-monophosphate dehydrogenase","Inosine-5'-monophosphate dehydrogenase",2,7,3,266,0.008883372479552,24.180858724033,0.200782374904281
