"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF033","YDR381W;YER165W;YHL034C;YNR051C;YOL041C","ProSiteProfiles","PS50102","Eukaryotic RNA Recognition Motif (RRM) profile.","RNA recognition motif domain",5,10,7,90,0.00995285734388094,6.25958337887092,0.176893185786316
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","SUPERFAMILY","SSF100934","Heat shock protein 70kD (HSP70), C-terminal subdomain","Heat shock protein 70kD, C-terminal domain superfamily",4,21,6,250,0.00717612863722422,7.81965041874332,0.176893185786316
"YAF033","YDR381W;YER165W;YHL034C;YOL041C","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",4,21,6,250,0.00717612863722422,7.81965041874332,0.176893185786316
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","Gene3D","G3DSA:1.20.1270.10","-","Heat shock protein 70kD, C-terminal domain superfamily",4,21,6,264,0.00601267433208466,8.25663438330501,0.176893185786316
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","Gene3D","G3DSA:2.60.34.10","Substrate Binding Domain Of DNAk; Chain A","Heat shock protein 70kD, peptide-binding domain superfamily",4,21,7,263,0.00890257306639959,7.06265763621604,0.176893185786316
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","Gene3D","G3DSA:3.30.30.30","-","-",4,21,7,263,0.00890257306639959,7.06265763621604,0.176893185786316
"YAF033","YDR381W;YER165W;YHL034C;YOL041C","Gene3D","G3DSA:3.30.70.330","-","Nucleotide-binding alpha-beta plait domain superfamily",4,21,7,263,0.00890257306639959,7.06265763621604,0.176893185786316
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","PANTHER","PTHR19375","HEAT SHOCK PROTEIN 70KDA","Heat shock protein 70 family",4,26,6,288,0.00853519227681195,7.29579748471586,0.176893185786316
"YAF033","YDR381W;YER165W;YHL034C;YOL041C","Pfam","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","RNA recognition motif domain",4,25,6,287,0.0076855822015829,7.55742298643742,0.176893185786316
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","ProSitePatterns","PS00297","Heat shock hsp70 proteins family signature 1.","Heat shock protein 70, conserved site",4,8,5,176,0.000936031774917246,16.9033931555317,0.120014176436144
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","ProSitePatterns","PS00329","Heat shock hsp70 proteins family signature 2.","Heat shock protein 70, conserved site",4,8,6,175,0.00150645409752483,14.0724423138219,0.120014176436144
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","ProSitePatterns","PS01036","Heat shock hsp70 proteins family signature 3.","Heat shock protein 70, conserved site",4,8,6,175,0.00150645409752483,14.0724423138219,0.120014176436144
"YAF033","YAL005C;YJL034W;YJR045C;YLL024C","PRINTS","PR00301","70kDa heat shock protein signature","-",4,3,7,73,0.00420154825081111,13.097672641031,0.176893185786316
