"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF022","YHR216W;YLR432W;YML056C","ProSitePatterns","PS00487","IMP dehydrogenase / GMP reductase signature.","IMP dehydrogenase / GMP reductase, conserved site",3,7,3,299,0.000454702217513731,40.296310930535,0.0359201103010084
"YAF022","YDR206W;YLR216C;YMR229C","SUPERFAMILY","SSF48452","TPR-like","Tetratricopeptide-like helical domain superfamily",3,15,7,495,0.00360274108424154,13.9144338456497,0.0576438573478647
"YAF022","YHR216W;YLR432W;YML056C","SUPERFAMILY","SSF51412","Inosine monophosphate dehydrogenase (IMPDH)","-",3,15,3,499,0.000655700480529284,32.2958856882707,0.0359201103010084
"YAF022","YHR216W;YLR432W;YML056C","SUPERFAMILY","SSF54631","CBS-domain pair","-",3,15,4,498,0.00112250344690651,24.295251037168,0.0359201103010084
"YAF022","YHR216W;YLR432W;YML056C","CDD","cd00381","IMPDH","IMP dehydrogenase/GMP reductase",3,16,3,367,0.00181079592640017,22.321231989822,0.0368743897739672
"YAF022","YHR216W;YLR432W;YML056C","CDD","cd04601","CBS_pair_IMPDH","-",3,16,3,367,0.00181079592640017,22.321231989822,0.0368743897739672
"YAF022","YHR216W;YLR432W;YML056C","PANTHER","PTHR11911","INOSINE-5-MONOPHOSPHATE DEHYDROGENASE RELATED","-",3,20,3,564,0.000962371297079,27.5756925689053,0.0359201103010084
"YAF022","YHR216W;YLR432W;YML056C","Pfam","PF00478","IMP dehydrogenase / GMP reductase domain","IMP dehydrogenase/GMP reductase",3,20,3,564,0.000962371297079,27.5756925689053,0.0359201103010084
"YAF022","YHR216W;YLR432W;YML056C","Pfam","PF00571","CBS domain","CBS domain",3,20,4,563,0.00164116694556244,20.7205882967835,0.0368743897739672
"YAF022","YHR216W;YLR432W;YML056C","ProSiteProfiles","PS51371","CBS domain profile.","CBS domain",3,12,4,231,0.00533450829551613,14.0257218611761,0.0796619905463742
"YAF022","YHR216W;YKL211C;YLR432W;YML056C","Gene3D","G3DSA:3.20.20.70","Aldolase class I","Aldolase-type TIM barrel",4,14,14,502,0.00207000107680775,10.1245807054628,0.0386400201004113
"YAF022","YHR216W;YLR432W;YML056C","SMART","SM00116","cbs_1","CBS domain",3,10,4,244,0.0030362700652777,17.6796334475553,0.0523172688170927
"YAF022","YHR216W;YLR432W;YML056C","SMART","SM01240","IMPDH_2","-",3,10,3,245,0.00178712817235934,23.5031255847076,0.0368743897739672
"YAF022","YHR216W;YLR432W;YML056C","PIRSF","PIRSF000130","IMPDH","Inosine-5'-monophosphate dehydrogenase",3,1,3,128,0.000196103102623134,105.189663178978,0.0359201103010084
"YAF022","YHR216W;YLR432W;YML056C","TIGRFAM","TIGR01302","IMP_dehydrog: inosine-5'-monophosphate dehydrogenase","Inosine-5'-monophosphate dehydrogenase",3,4,3,159,0.000838473115962037,36.3769663778748,0.0359201103010084
