"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF034","YBL099W","ProSitePatterns","PS00152","ATP synthase alpha and beta subunits signature.","ATPase, alpha/beta subunit, nucleotide-binding domain, active site",1,9,4,159,0.260157431960095,4.34754073016442,0.310978883784858
"YAF034","YBR011C","ProSitePatterns","PS00387","Inorganic pyrophosphatase signature.","Inorganic pyrophosphatase",1,9,1,162,0.112582336335529,17.1278547566657,0.273343389641119
"YAF034","YDL061C","ProSitePatterns","PS00527","Ribosomal protein S14 signature.","Ribosomal protein S14, conserved site",1,9,1,162,0.112582336335529,17.1278547566657,0.273343389641119
"YAF034","YEL034W","ProSitePatterns","PS00302","Eukaryotic initiation factor 5A hypusine signature.","Translation elongation factor, IF5A, hypusine site",1,9,1,162,0.112582336335529,17.1278547566657,0.273343389641119
"YAF034","YGL253W","ProSitePatterns","PS00378","Hexokinase domain signature.","Hexokinase, binding site",1,9,1,162,0.112582336335529,17.1278547566657,0.273343389641119
"YAF034","YGR254W","ProSitePatterns","PS00164","Enolase signature.","Enolase, conserved site",1,9,2,161,0.164478106140469,8.67515267366837,0.273343389641119
"YAF034","YML085C","ProSitePatterns","PS00227","Tubulin subunits alpha, beta, and gamma signature.","Tubulin, conserved site",1,9,1,162,0.112582336335529,17.1278547566657,0.273343389641119
"YAF034","YMR108W","ProSitePatterns","PS00187","Thiamine pyrophosphate enzymes signature.","TPP-binding enzyme, conserved site",1,9,2,161,0.164478106140469,8.67515267366837,0.273343389641119
"YAF034","YNL071W","ProSitePatterns","PS00189","2-oxo acid dehydrogenases acyltransferase component lipoyl binding site.","2-oxo acid dehydrogenase, lipoyl-binding site",1,9,1,162,0.112582336335529,17.1278547566657,0.273343389641119
"YAF034","YPL231W","ProSitePatterns","PS00606","Beta-ketoacyl synthases active site.","Beta-ketoacyl synthase, active site",1,9,1,162,0.112582336335529,17.1278547566657,0.273343389641119
"YAF034","YBL099W","Gene3D","G3DSA:1.20.150.20","-","ATP synthase, alpha subunit, C-terminal domain superfamily",1,20,1,230,0.160026560424967,11.2475139333567,0.273343389641119
