"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF017","YBR119W;YDL209C;YHR086W;YIL061C;YNL251C;YPL178W;YPL190C","ProSiteProfiles","PS50102","Eukaryotic RNA Recognition Motif (RRM) profile.","RNA recognition motif domain",7,20,29,418,0.002353746842196,5.0144893097951,0.106154780837399
"YAF017","YBR119W;YDL209C;YHR086W;YIL061C;YNL251C;YPL178W;YPL190C","Pfam","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","RNA recognition motif domain",7,44,25,1006,0.000462474516511778,6.37739173237918,0.0476348752007132
"YAF017","YER029C;YGR074W;YLR147C;YLR275W","Pfam","PF01423","LSM domain","LSM domain, eukaryotic/archaea-type",4,47,4,1027,0.0002672848501054,21.6398318999394,0.0476348752007132
"YAF017","YBR055C;YDR235W;YDR416W;YLR117C;YML046W","SUPERFAMILY","SSF48452","TPR-like","Tetratricopeptide-like helical domain superfamily",5,44,20,881,0.00721429344923377,4.9889048609401,0.186325587877916
"YAF017","YBR119W;YDL209C;YHR086W;YIL061C;YNL251C;YPL178W;YPL190C","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",7,42,29,872,0.001664267448249,4.99497603543437,0.0979540269540839
"YAF017","YER029C;YGR074W;YLR147C;YLR275W","SUPERFAMILY","SSF50182","Sm-like ribonucleoproteins","LSM domain superfamily",4,45,4,897,0.000376638937520497,19.7366848395097,0.0476348752007132
"YAF017","YBR055C;YDR416W;YLR117C","PANTHER","PTHR11246","PRE-MRNA SPLICING FACTOR","-",3,53,3,1032,0.00229769692952736,19.3119225658956,0.106154780837399
"YAF017","YBR119W;YDL209C;YHR086W;YIL061C;YNL251C;YPL178W;YPL190C","Gene3D","G3DSA:3.30.70.330","-","Nucleotide-binding alpha-beta plait domain superfamily",7,45,30,883,0.0025765723504223,4.56538792935261,0.106154780837399
"YAF017","YER029C;YGR074W;YLR147C;YLR275W","Gene3D","G3DSA:2.30.30.100","-","-",4,48,4,909,0.000448423818796831,18.7509177642622,0.0476348752007132
"YAF017","YBR055C;YDR235W;YDR416W;YLR117C;YML046W","SMART","SM00386","hat_new_1","HAT (Half-A-TPR) repeat",5,32,6,448,0.000616032221619077,11.5286635848522,0.0507610550614119
"YAF017","YER029C;YGR074W;YLR147C;YLR275W","SMART","SM00651","Sm3","LSM domain, eukaryotic/archaea-type",4,33,4,450,0.0015467907838963,13.4577429759037,0.0979540269540839
"YAF017","YOR374W;YPL061W","ProSitePatterns","PS00687","Aldehyde dehydrogenases glutamic acid active site.","Aldehyde dehydrogenase, glutamic acid active site",2,9,3,461,0.00470206329347033,32.885253475092,0.176113643355434
